asin,Title,MainImage,Rating,NumberOfReviews,Price($),details,Manufacture,Color
B0949QT1PD,"        HP 14 Laptop, Intel Celeron N4020, 4 GB RAM, 64 GB Storage, 14-inch Micro-Edge HD Display, Windows 10 Home, Thin & Portable, 4K Graphics, One Year of Microsoft 365 (14-dq0020nr, 2021, Jet Black)       ",https://m.media-amazon.com/images/I/41ED91l+ZPS._AC_.jpg,4.1 out of 5 stars,32 ratings,178," ,
, READY FOR ANYWHERE – With its thin and light design, 6.5 mm micro-edge bezel display, and 79% screen-to-body ratio, you’ll take this PC anywhere while you see and do more of what you love (1)  , MORE SCREEN, MORE FUN – With virtually no bezel encircling the screen, you’ll enjoy every bit of detail on this 14-inch HD (1366 x 768) display (2)  , ALL-DAY PERFORMANCE – Tackle your busiest days with the dual-core, Intel Celeron N4020—the perfect processor for performance, power consumption, and value (3)  , 4K READY – Smoothly stream 4K content and play your favorite next-gen games with Intel UHD Graphics 600 (4) (5)  , STORAGE AND MEMORY – An embedded multimedia card provides reliable flash-based, 64 GB of storage while 4 GB of RAM expands your bandwidth and boosts your performance (6).  , POWERED UP AND PRODUCTIVE – Work, watch, and stay connected all day with up to 11 hours and 30 minutes of battery life (7); plus, HP Fast Charge technology charges your laptop computer from 0 to 50% in approximately 45 minutes so you never miss a beat (8).  , WINDOWS 10 HOME AND WARRANTY – Experience the most secure Windows ever built with fast boot times, increased responsiveness, and added protection against phishing and malware (9). Start computing with confidence as your Windows 10 laptop is covered by a 1-year limited hardware warranty  ,STAY CONNECTED, ANYWHERE – Sync up all your Bluetooth accessories and enjoy strong Wi-Fi connectivity with the reliable Wi-Fi 5 (1x1) and Bluetooth 4.2 combo (10) (11),MICROSOFT 365 – Bring your ideas to life with the Microsoft 365 Office suite, now offering Word, Excel, and PowerPoint, with added smart assistance features to up your creative game (1-year subscription included) (12),SUSTAINABLE DESIGN – Work or play with an environmentally responsible 14-inch laptop that is both ENERGY STAR certified and EPEAT Silver registered (13) (14)","
                ‎1366 x 768 pixels ","
                ‎2.8 GHz celeron_n4020 "
B096MXR34N,"        Dell SE2422HX 24 Inch FHD (1920 x 1080p) Computer Monitor - Comfortview (TUV-Certified), 75Hz Refresh Rate, Anti-Glare - Black       ",https://m.media-amazon.com/images/I/41oVhTY49eS._AC_.jpg,4.7 out of 5 stars,"1,021 ratings",154," ,
, PERFECT SIZE: This 23.8-inch Full HD (1920 x 1080p) display easily tilts to get to the right viewing angle and can be hooked up with a compatible VESA mount  , REDUCE BLUELIGHT: Dell’s TUV certified ComfortView feature helps to minimize harmful blue light emissions to help reduce eye fatigue while using your computer  , ADDED ORGANIZATION: A built-in power supply unit and cable holder help to further reduce clutter around the screen  , WASTE LESS POWER: Save energy when your monitor is not in use with PowerNap  , ECO CONSCIOUS: This screen is delivered in Styrofoam free packaging  ","
                ‎1920 x 1080 pixels ","
                ‎Dell "
B08YDQTN4Z,"        Dell S3422DW - 34-inch WQHD 21:9 Curved Monitor, 3440 x 1440 at 100Hz, 1800R, Built-in Dual 5W Speakers, 4ms Grey-to-Grey Response Time (Extreme Mode), 16.7 Million Colors, Silver       ",https://m.media-amazon.com/images/I/41pUB44OrxS._AC_.jpg,4.3 out of 5 stars,117 ratings,449," ,
, 34-inch 1800R curved screen with 21:9 Aspect ratio  , Immersive viewing with 3-sided Ultra-thin bezels design in ultrawide WQHD resolution (3440x1440) curved screen  , Vertical Alignment (VA) display technology delivers an expanded contrast ratio of 3000:1  , AMD FreeSyncTM technology with refresh rate of 100Hz  , Built-in Dual 5W speakers professionally-tuned by award-winning Waves MaxxAudio  ","
                ‎3440 x 1440 pixels ","
                ‎3 "
B09X2B5TYJ,"        HP Victus 15.6"" Gaming Laptop PC, NVIDIA GeForce RTX 3050 Ti, AMD Ryzen 7 5800H, Refined 1080p IPS Display, Compact Design, All-in-One Keyboard with Enlarged Touchpad, HD Webcam (15-fb0028nr, 2022)       ",https://m.media-amazon.com/images/I/411KDuk4cqL._AC_.jpg,4.5 out of 5 stars,8 ratings,"1,019"," ,
, PACKED FULL OF POWER – Experience desktop-level performance and capabilities with an AMD Ryzen 7 5800H Mobile Processor (1) and 16 GB of DDR4 memory.  , MODERN GRAPHICS – Enjoy all your favorite games in stunning detail with the NVIDIA GeForce RTX 3050 Ti Laptop GPU, featuring 4 GB of dedicated memory (2). Reduce frustrating lag and image ghosting with a display that combines a 144Hz refresh rate and 1080p resolution for smooth, crisp gameplay (3) (4).  , GAMING HQ – Powered by OMEN hardware and OMEN Gaming Hub, you’ll easily control and customize every facet of this gaming laptop.  , REFINED DESIGN – Take the hyper-portal HP Victus Laptop anywhere and show off its iconic Mica Silver finish.  , OPTIMIZED FOR PLAY – Game or stream longer without slow-down thanks to the updated thermal design—perfect for keeping your device cooled even when your gameplay heats up.  , PLAYER FOCUSED KEYBOARD – Elevate your play on a full-sized, all-in-one gaming keyboard, complete with plenty of finger space, a bigger touchpad for more accurate clicking, and a dedicated OMEN Gaming Hub key.  , STAY CONNECTED – Whether you need to jump on a quick work call or coordinate with your team, do it in the clearest way possible with an HD camera, featuring Temporal Noise Reduction which eliminates unwanted background noise.  ","
                ‎1920 x 1080 pixels ","
                ‎4.4 GHz amd_ryzen_7_5800h "
B087YW8FQB,"        Lenovo IdeaPad 3 11 Chromebook Laptop, 11.6"" HD Display, Intel Celeron N4020, 4GB RAM, 64GB Storage, Intel UHD Graphics 600, Chrome OS       ",https://m.media-amazon.com/images/I/419bCR3JqHL._AC_.jpg,4.3 out of 5 stars,"2,641 ratings",116," ,
, No setup required. Log in to your Chromebook laptop with your Google account and you're ready to go. Easy access to collaborative tools on G Suite and the full library of apps on Google Play  , Slim and lightweight, this notebook computer goes anywhere. Running on lightning-fast Chrome OS, it boots up in seconds, updates automatically, and keeps you safe with built-in virus protection  , Enjoy your favorite streaming videos and music. The 3-side narrow bezel HD display delivers beautiful clarity, while dual 2W stereo speakers offer crystal-clear audio  , Take it with you. With up to 10 hours of battery life, you can stay productive on the go  , Stay connected with the 720p webcam, 2x2 WiFi 5 (802.11 ac), and Bluetooth 4.2 combo with WiFi card. You'll also have 2 x USB 3.1 Gen 12 (Type-C) ports, 2 x USB 3.1 Gen 12 (Type-A) ports, a microSD Card Reader, and an audio combo jack  ","
                ‎1366 x 768 ","
                ‎1.1 GHz celeron_n3450 "
B09R8VGY83,"        SAMSUNG 13.3” Galaxy Book2 Pro Laptop Computer, i7 / 8GB / 512GB, 12th Gen Intel Core Processor, Evo Certified, Lightweight, 2022 Model, Graphite       ",https://m.media-amazon.com/images/I/31NoLzucr1L._AC_.jpg,4.1 out of 5 stars,52 ratings,"1,049"," ,
, POWERFUL, FAST, AMAZING: Our new laptop is packed with the premium performance you’ve come to expect from Samsung — plus some; It’s powered by the latest 12th Gen Evo-certified Intel processor, our most powerful available CPU yet  , THIN, LIGHT, POWERFUL: With a PC this powerful, you’ll want to take it with you wherever you go; And you can! At less than 2 pounds, Galaxy Book2 Pro is our thinnest and lightest laptop yet  , BRILLIANT, BRIGHT, BEAUTIFUL: Whether you're scrolling through your social feed or video chatting with your bestie, everything looks amazing on a stunning AMOLED screen that’s up to 33% brighter;* Available in two sizes (13.3"" and 15.6"")  , VIDEO CHAT IN HIGH DEFINITION: Galaxy Book2 Pro features an upgraded full HD camera with a 1080p wide-angle view that’s 2x clearer* than before; You’ll sound amazing too with upgraded Dolby Atmos sound and intelligent noise canceling  , LONG LASTING CHARGE, POWERS UP FAST: Galaxy Book2 Pro features our longest-lasting battery to keep you going for hours and hours on a single charge; When you finally do need a jolt of power, get energized faster with a universal fast charger that gets you 40% of battery power back in just 30 minutes  , INNOVATION THAT MOVES YOU FORWARD: Get the combined capabilities of a laptop and a tablet with a versatile 2 in 1 design that features a 360° hinge; Bring ideas to life on the screen with an included S Pen that feels like a real pen  , UNITE YOUR GALAXY, MULTIPLY THE POSSIBILITIES: All of your Galaxy devices sync to help you do more; Pair them up and take control of an interconnected network of seemingly unlimited possibilities; Access a file, photo or text on any device  ","
                ‎1920 x 1080 Pixels ","
                ‎8 GB Lpddr 5 "
B09SVQ25XH,"        ASUS TUF Gaming F15 Gaming Laptop, 15.6” 144Hz FHD IPS-Type Display, Intel Core i5-10300H Processor, GeForce GTX 1650, 8GB DDR4 RAM, 512GB PCIe SSD, Wi-Fi 6, Windows 11 Home, FX506LH-AS51       ",https://m.media-amazon.com/images/I/41MGzObudzL._AC_.jpg,4.1 out of 5 stars,65 ratings,849," ,
, SUPERCHARGED GTX GRAPHICS - Gameplay graphics are silky smooth with the NVIDIA GeForce GTX 1650 4GB GDDR6 so you can stay immersed in the game even in the most graphically intensive moments  , READY FOR ANYTHING - Use your gaming laptop to stream and multitask with ease thanks to an Intel Core i5-10300H with 8M Cache, up to 4.5 GHz, 4 cores and 8GB of blisteringly fast 2933MHz DDR4 RAM on Windows 11  , SWIFT VISUALS – Stay one step ahead of the competition thanks to its 144Hz 15.6” Full HD (1920 x 1080) IPS Type Display  , AMPLE STORAGE FOR ALL YOUR GAMES - Store all your game library, and load them fast on your 512GB PCIe NVMe M.2 SSD to take advantage of the full RTX gaming experience  , MILITARY GRADE TOUGHNESS - Durable MIL-STD-810H military standard lives in the TUF line as the devices are tested against drops, vibration, humidity and extreme temperatures to ensure reliability  , SELF-CLEANING TECH - This ASUS Gaming Laptop is equipped with Self-cleaning dual fans with anti-dust technology to extend system longevity  , FUTUREPROOF YOUR DEVICE - Featuring an Easy Upgrade Design with a pop-open screw, you can easily add or replace memory and storage  ","
                ‎1920 x 1080 Pixels ","
                ‎8 GB DDR4 "
B0B2VDYX4J,"        2022 Acer 15.6"" FHD IPS Touchscreen Chromebook, Intel Dual-Core Celeron N Processor Up to 2.50GHz, 4GB RAM, 32GB SSD, Numeric Keypad, Ultra-Fast WiFi, Chrome OS-(Renewed)       ",https://m.media-amazon.com/images/I/41k4vAr-szL._AC_.jpg,3.8 out of 5 stars,6 ratings,182," ,
, 15.6"" Full HD LED Backlit Touchscreen(1920x1080), Intel Graphics  , Intel Dual-Core Celeron N Processor Up to 2.50GHz, 4GB DDR4 RAM, 32GB SSD  , 2x USB Type-A, 2x USB Type-C, 1x Headphone/microphone, Micro SD Card Reader  , IEEE 802.11a/b/g/n/ac, Bluetooth 5.0, Full-size keyboard with Numeric keypad  , Chrome OS  ","
                ‎1920 x 1080 Pixels ","
                ‎DDR4 "
B09W7PFFW8,"        Dell 27-inch USB-C Monitor - Full HD (1920 x 1080 Display, 75Hz Refresh Rate, 4MS Grey-to-Grey Response Time (Extreme Mode), Dual 3W Built-in Speakers, HDMI, IPS, AMD FreeSync, Silver - S2723HC       ",https://m.media-amazon.com/images/I/416dI74rD0L._AC_.jpg,4.7 out of 5 stars,20 ratings,299," ,
, SUPERIOR SCREEN: High functionality meets superb style with a three-sided ultrathin bezel design that allows you to see more with less distraction on this 27-inch usb-c monitor.  , VERSATILE CONNECTIVITY: Easily charge and connect your laptop on this USB-C monitor. This single-cable solution reduces clutter on your desktop and transmits power, video, audio and data—all at once.  , COMFORT COMES FIRST: Customize your views with a height-adjustable stand that tilts, swivels and pivots allowing you to view at your most optimal position.  , INTEGRATED SPEAKERS: This usb-c monitor comes equipped with everything you need including built-in dual 3W speakers.  , EASY ON THE EYES: ComfortView Plus is a built-in, always-on low blue light screen that improves eye comfort by lowering potentially hazardous blue light emissions while maintaining great color accuracy.  ","
                ‎1920 x 1080 pixels ","
                ‎Dell "
B08YD1JLJF,"        Acer Swift 3 Thin & Light Laptop | 14"" Full HD IPS 100% sRGB Display | AMD Ryzen 7 5700U Octa-Core Processor | 8GB LPDDR4X | 512GB NVMe SSD | WiFi 6 | Backlit KB | FPR | Amazon Alexa | SF314-43-R2YY       ",https://m.media-amazon.com/images/I/41hUZ8uaKAL._AC_.jpg,4.5 out of 5 stars,424 ratings,753," ,
, Powerful Productivity: AMD Ryzen 7 5700U Octa-Core Processor with Radeon Graphics run your most demanding apps with lightning-fast responsiveness and hyper-efficient battery usage to keep you productive and entertained all day  , Very Visual: Immerse yourself in consistently rich and bright visuals on the 14"" Full HD widescreen LED-backlit 100% sRGB display with 85.73% screen-to-body, 16:9 aspect ratio and narrow bezels  , Internal Specifications: 8GB LPDDR4X on-board memory; 512GB NVMe solid-state drive storage to store your files and media  , Windows Hello with Fingerprint Reader: Biometric fingerprint reader and Windows Hello sign-in options help keep your Acer PC secure  , Connections: 802.11ax Wi-Fi 6 Dual-Band 2.4GHz and 5GHz featuring MU-MIMO technology; Bluetooth 5.2  , Acer's Purified.Voice technology, features enhanced digital signal processing to cancel out background noise, improve speech accuracy and far-field pickup, which not only makes calls clearer, but makes talking to Alexa easier than before.  , Using Alexa on your PC is as easy as asking a question. Just ask and Alexa can check your calendar, create lists, play music, answer questions, read the news and more.  ,Cool in Every Way: Very sleek all-metal chassis is lightweight and durable enough to be your on-the-go companion throughout the day, and the understated lifting hinge helps increase airflow to keep this Acer Swift notebook looking and feeling cool,Ports For All Your Accessories: USB 3.2 Type-C (DisplayPort and USB charging), 2 - USB 3.2 Gen 1 (1 Power-off Charging), HDMI 2.0 with HDCP support, headphone/microphone-in jack, DC-in for AC adapter","
                ‎1920 x 1080 pixels ","
                ‎8 GB LPDDR4 "
